,BGT,Broad,Elliot,Fremont,MTS,NW58,Second,Spokane,Thirty,TwoSix,Total
2017-12-09,608.0,76.0,284.0,778.0,330.0,140.0,35.0,137.0,4.0,0.0,2453.0
2017-12-10,742.0,79.0,480.0,989.0,432.0,131.0,45.0,221.0,15.0,0.0,3184.0
2017-12-11,495.0,221.0,850.0,2498.0,265.0,131.0,595.0,611.0,120.0,33.0,6135.0
2017-12-12,497.0,243.0,919.0,2722.0,316.0,139.0,699.0,682.0,137.0,51.0,6725.0
2017-12-13,544.0,247.0,941.0,2760.0,333.0,135.0,717.0,703.0,132.0,42.0,6888.0
2017-12-14,322.0,205.0,729.0,2259.0,208.0,116.0,611.0,547.0,100.0,22.0,5461.0
2017-12-15,223.0,159.0,529.0,1762.0,110.0,115.0,487.0,357.0,72.0,0.0,4054.0
